Symbol,Date,Open,High,Low,Close,Volume
AAPL,2020-01-02,71.55,72.6,71.29,72.54,135480400
AAPL,2020-01-03,71.77,72.59,71.61,71.83,146322800
AAPL,2020-01-06,70.95,72.44,70.7,72.41,118387200
AAPL,2020-01-07,72.42,72.67,71.85,72.07,108872000
AAPL,2020-01-08,71.77,73.53,71.77,73.22,132079200
AAPL,2020-01-09,74.2,74.97,73.95,74.78,170108400
AAPL,2020-01-10,75.01,75.51,74.45,74.95,140644800
AAPL,2020-01-13,75.27,76.58,75.15,76.55,121532000
AAPL,2020-01-14,76.49,76.7,75.39,75.52,161954400
AAPL,2020-01-15,75.32,76.2,74.76,75.19,121923600
AAPL,2020-01-16,75.74,76.25,75.37,76.13,108829200
AAPL,2020-01-17,76.38,76.98,76.08,76.98,137816400
AAPL,2020-01-21,76.61,77.05,76.32,76.46,110843200
AAPL,2020-01-22,76.94,77.28,76.63,76.73,101832400
AAPL,2020-01-23,76.78,77.18,76.23,77.1,104472000
AAPL,2020-01-24,77.34,78.09,76.69,76.88,146537600
AAPL,2020-01-27,74.88,75.3,73.63,74.62,161940000
AAPL,2020-01-28,75.5,76.9,75.4,76.73,162234000
AAPL,2020-01-29,78.36,79.18,77.62,78.33,216229200
AAPL,2020-01-30,77.41,78.27,76.98,78.22,126743200
AAPL,2020-01-31,77.51,77.93,74.46,74.75,199588400
AAPL,2020-02-03,73.49,75.71,72.99,74.55,173788400
AAPL,2020-02-04,76.15,77.2,75.75,77.01,136616400
AAPL,2020-02-05,78.13,78.43,77.03,77.63,118826800
AAPL,2020-02-06,77.9,78.54,77.35,78.54,105425600
AAPL,2020-02-07,78.04,78.29,76.98,77.47,117684000
AAPL,2020-02-10,76.06,77.84,75.98,77.84,109348800
AAPL,2020-02-11,78.34,78.41,77.16,77.37,94323200
AAPL,2020-02-12,77.82,79.22,77.82,79.21,113730400
AAPL,2020-02-13,78.48,78.97,78.28,78.65,94747600
AAPL,2020-02-14,78.62,78.92,78.16,78.67,80113600
AAPL,2020-02-18,76.34,77.41,76.16,77.23,152531200
AAPL,2020-02-19,77.47,78.57,77.47,78.34,93984000
AAPL,2020-02-20,78.1,78.59,77.03,77.54,100566000
AAPL,2020-02-21,77.13,77.58,75.17,75.79,129554000
AAPL,2020-02-24,71.96,73.64,70.02,72.19,222195200
AAPL,2020-02-25,72.86,73.24,69.27,69.74,230673600
AAPL,2020-02-26,69.37,72.11,69.36,70.85,198054800
AAPL,2020-02-27,68.05,69.24,66.08,66.22,320605600
AAPL,2020-02-28,62.28,67.4,62.06,66.18,426510000
AAPL,2020-03-02,68.34,72.97,67.23,72.34,341397200
AAPL,2020-03-03,73.51,73.59,69.19,70.04,319475600
AAPL,2020-03-04,71.76,73.45,70.96,73.29,219178400
AAPL,2020-03-05,71.54,72.52,70.55,70.91,187572800
AAPL,2020-03-06,68.27,70.4,68.08,69.97,226176800
AAPL,2020-03-09,63.85,67.32,63.67,64.44,286744800
AAPL,2020-03-10,67.09,69.34,65.21,69.08,285290000
AAPL,2020-03-11,67.15,68.08,65.81,66.68,255598800
AAPL,2020-03-12,61.96,65.36,60.04,60.09,418474000
AAPL,2020-03-13,64.13,67.76,61.24,67.29,370732000
AAPL,2020-03-16,58.57,62.72,58.1,58.64,322423600
AAPL,2020-03-17,59.92,62.36,57.71,61.21,324056000
AAPL,2020-03-18,58.05,60.52,57.4,59.72,300233600
AAPL,2020-03-19,59.89,61.21,58.73,59.26,271857200
AAPL,2020-03-20,59.84,60.96,55.2,55.5,401693200
AAPL,2020-03-23,55.22,55.32,51.47,54.32,336752800
AAPL,2020-03-24,57.22,59.96,56.72,59.77,287531200
AAPL,2020-03-25,60.7,62.52,59.14,59.44,303602000
AAPL,2020-03-26,59.68,62.62,59.64,62.56,252087200
AAPL,2020-03-27,61.19,61.94,59.81,59.97,204216800
AAPL,2020-03-30,60.7,61.86,60.38,61.69,167976400
AAPL,2020-03-31,61.88,63.55,61.01,61.56,197002000
AAPL,2020-04-01,59.67,60.21,57.89,58.32,176218400
AAPL,2020-04-02,58.18,59.35,57.35,59.29,165934000
AAPL,2020-04-03,58.78,59.48,57.85,58.44,129880000
AAPL,2020-04-06,60.74,63.7,60.37,63.54,201820400
AAPL,2020-04-07,65.56,65.77,62.7,62.8,202887200
AAPL,2020-04-08,63.61,64.73,63.24,64.41,168895200
AAPL,2020-04-09,65.05,65.38,64.08,64.88,161834800
AAPL,2020-04-13,64.95,66.26,64.35,66.15,131022800
AAPL,2020-04-14,67.78,69.78,67.31,69.49,194994800
AAPL,2020-04-15,68.37,69.32,67.94,68.86,131154400
AAPL,2020-04-16,69.57,69.77,68.35,69.4,157125200
AAPL,2020-04-17,68.92,69.47,67.02,68.46,215250000
AAPL,2020-04-20,67.29,68.19,67.02,67.04,130015200
AAPL,2020-04-21,66.88,67.12,64.26,64.97,180991600
AAPL,2020-04-22,66.24,67.28,65.9,66.84,116862400
AAPL,2020-04-23,66.78,68.21,66.54,66.58,124814400
AAPL,2020-04-24,67.11,68.51,67.06,68.5,126161200
AAPL,2020-04-27,68.22,68.88,67.77,68.55,117087600
AAPL,2020-04-28,69.01,69.2,67.35,67.44,112004800
AAPL,2020-04-29,68.93,70.13,68.73,69.66,137280800
AAPL,2020-04-30,70.2,71.3,69.81,71.12,183064000
AAPL,2020-05-01,69.3,72.38,69.2,69.98,240616800
AAPL,2020-05-04,70.0,71.1,69.31,70.97,133568000
AAPL,2020-05-05,71.43,72.87,71.28,72.04,147751200
AAPL,2020-05-06,72.74,73.41,72.35,72.78,142333600
AAPL,2020-05-07,73.41,73.88,73.1,73.53,115215200
